text,label_0,label_1,label_2,label_3,label_4,majority_label
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",STRONGLY DISAGREE,STRONGLY DISAGREE,False,STRONGLY DISAGREE,STRONGLY DISAGREE,False
"I’d always support my country, whether it was right or wrong.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"No one chooses their country of birth, so it’s foolish to be proud of it.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Our race has many superior qualities, compared with other races.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The enemy of my enemy is my friend.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Military action that defies international law is sometimes justified.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
There is now a worrying fusion of information and entertainment.,STRONGLY DISAGREE,STRONGLY DISAGREE,False,STRONGLY DISAGREE,STRONGLY DISAGREE,False
People are ultimately divided more by class than by nationality.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Controlling inflation is more important than controlling unemployment.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",STRONGLY DISAGREE,False,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,False
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"The freer the market, the freer the people.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Land shouldn’t be a commodity to be bought and sold.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Protectionism is sometimes necessary in trade.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
