text,label_0,label_1,label_2,label_3,label_4,majority_label
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"I’d always support my country, whether it was right or wrong.",AGREE,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE
"No one chooses their country of birth, so it’s foolish to be proud of it.",STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
"Our race has many superior qualities, compared with other races.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The enemy of my enemy is my friend.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Military action that defies international law is sometimes justified.,STRONGLY DISAGREE,STRONGLY AGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
There is now a worrying fusion of information and entertainment.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
People are ultimately divided more by class than by nationality.,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Controlling inflation is more important than controlling unemployment.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,STRONGLY AGREE
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",STRONGLY AGREE,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",STRONGLY AGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"The freer the market, the freer the people.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Land shouldn’t be a commodity to be bought and sold.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE
Protectionism is sometimes necessary in trade.,STRONGLY DISAGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
