text,label_0,label_1,label_2,label_3,label_4,majority_label
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"I’d always support my country, whether it was right or wrong.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"No one chooses their country of birth, so it’s foolish to be proud of it.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
"Our race has many superior qualities, compared with other races.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The enemy of my enemy is my friend.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Military action that defies international law is sometimes justified.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
There is now a worrying fusion of information and entertainment.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
People are ultimately divided more by class than by nationality.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Controlling inflation is more important than controlling unemployment.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"The freer the market, the freer the people.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Land shouldn’t be a commodity to be bought and sold.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Protectionism is sometimes necessary in trade.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
The only social responsibility of a company should be to deliver a profit to its shareholders.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
The rich are too highly taxed.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Those with the ability to pay should have access to higher standards of medical care.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Governments should penalise businesses that mislead the public.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
"Abortion, when the woman’s life is not threatened, should always be illegal.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
All authority should be questioned.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
An eye for an eye and a tooth for a tooth.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Schools should not make classroom attendance compulsory.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Good parents sometimes have to spank their children.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
It’s natural for children to keep some secrets from their parents.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Possessing marijuana for personal use should not be a criminal offence.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The prime function of schooling should be to equip the future generation to find jobs.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
People with serious inheritable disabilities should not be allowed to reproduce.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
The most important thing for children to learn is to accept discipline.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
There are no savage and civilised peoples; there are only different cultures.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
First-generation immigrants can never be fully integrated within their new country.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
"What’s good for the most successful corporations is always, ultimately, good for all of us.",STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"No broadcasting institution, however independent its content, should receive public funding.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Our civil liberties are being excessively curbed in the name of counter-terrorism.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
The death penalty should be an option for the most serious crimes.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"In criminal justice, punishment should be more important than rehabilitation.",STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
It is a waste of time to try to rehabilitate some criminals.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The businessperson and the manufacturer are more important than the writer and the artist.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Mothers may have careers, but their first duty is to be homemakers.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Multinational companies are unethically exploiting the plant genetic resources of developing countries.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Making peace with the establishment is an important aspect of maturity.,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Astrology accurately explains many things.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
You cannot be moral without being religious.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Charity is better than social security as a means of helping the genuinely disadvantaged.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Some people are naturally unlucky.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
It is important that my child’s school instills religious values.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Sex outside marriage is usually immoral.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"Pornography, depicting consenting adults, should be legal for the adult population.",STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
What goes on in a private bedroom between consenting adults is no business of the state.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
No one can feel naturally homosexual.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
These days openness about sex has gone too far.,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
