text,label_0,label_1,label_2,label_3,label_4,majority_label
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"I’d always support my country, whether it was right or wrong.",STRONGLY DISAGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"No one chooses their country of birth, so it’s foolish to be proud of it.",STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
"Our race has many superior qualities, compared with other races.",AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The enemy of my enemy is my friend.,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Military action that defies international law is sometimes justified.,AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
There is now a worrying fusion of information and entertainment.,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
People are ultimately divided more by class than by nationality.,STRONGLY AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
Controlling inflation is more important than controlling unemployment.,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
"The freer the market, the freer the people.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Land shouldn’t be a commodity to be bought and sold.,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
Protectionism is sometimes necessary in trade.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
The only social responsibility of a company should be to deliver a profit to its shareholders.,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The rich are too highly taxed.,AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
Those with the ability to pay should have access to higher standards of medical care.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Governments should penalise businesses that mislead the public.,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
"Abortion, when the woman’s life is not threatened, should always be illegal.",STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
All authority should be questioned.,STRONGLY AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
An eye for an eye and a tooth for a tooth.,AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Schools should not make classroom attendance compulsory.,AGREE,AGREE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE
Good parents sometimes have to spank their children.,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
It’s natural for children to keep some secrets from their parents.,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Possessing marijuana for personal use should not be a criminal offence.,AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
The prime function of schooling should be to equip the future generation to find jobs.,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
People with serious inheritable disabilities should not be allowed to reproduce.,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
The most important thing for children to learn is to accept discipline.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE
There are no savage and civilised peoples; there are only different cultures.,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
First-generation immigrants can never be fully integrated within their new country.,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
"What’s good for the most successful corporations is always, ultimately, good for all of us.",AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE
"No broadcasting institution, however independent its content, should receive public funding.",AGREE,STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
Our civil liberties are being excessively curbed in the name of counter-terrorism.,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,AGREE,AGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
