text,label_0,label_1,label_2,label_3,label_4,majority_label
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"I’d always support my country, whether it was right or wrong.",STRONGLY DISAGREE,AGREE,AGREE,AGREE,STRONGLY DISAGREE,AGREE
"No one chooses their country of birth, so it’s foolish to be proud of it.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Our race has many superior qualities, compared with other races.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The enemy of my enemy is my friend.,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE
Military action that defies international law is sometimes justified.,AGREE,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE,AGREE
There is now a worrying fusion of information and entertainment.,AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
People are ultimately divided more by class than by nationality.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Controlling inflation is more important than controlling unemployment.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",STRONGLY AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
"“from each according to his ability, to each according to his need” is a fundamentally good idea.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"The freer the market, the freer the people.",STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
Land shouldn’t be a commodity to be bought and sold.,STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Protectionism is sometimes necessary in trade.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The only social responsibility of a company should be to deliver a profit to its shareholders.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The rich are too highly taxed.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Those with the ability to pay should have access to higher standards of medical care.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Governments should penalise businesses that mislead the public.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,STRONGLY AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Abortion, when the woman’s life is not threatened, should always be illegal.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
All authority should be questioned.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
An eye for an eye and a tooth for a tooth.,AGREE,STRONGLY DISAGREE,STRONGLY AGREE,AGREE,STRONGLY AGREE,STRONGLY AGREE
Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Schools should not make classroom attendance compulsory.,AGREE,STRONGLY AGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE
"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Good parents sometimes have to spank their children.,STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE
It’s natural for children to keep some secrets from their parents.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Possessing marijuana for personal use should not be a criminal offence.,AGREE,AGREE,STRONGLY AGREE,AGREE,AGREE,AGREE
The prime function of schooling should be to equip the future generation to find jobs.,AGREE,STRONGLY DISAGREE,AGREE,STRONGLY AGREE,AGREE,AGREE
People with serious inheritable disabilities should not be allowed to reproduce.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The most important thing for children to learn is to accept discipline.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
There are no savage and civilised peoples; there are only different cultures.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Those who are able to work, and refuse the opportunity, should not expect society’s support.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE,AGREE
First-generation immigrants can never be fully integrated within their new country.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"What’s good for the most successful corporations is always, ultimately, good for all of us.",AGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE
"No broadcasting institution, however independent its content, should receive public funding.",AGREE,AGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE
Our civil liberties are being excessively curbed in the name of counter-terrorism.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The death penalty should be an option for the most serious crimes.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Abstract art that doesn’t represent anything shouldn’t be considered art at all.,AGREE,AGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE
"In criminal justice, punishment should be more important than rehabilitation.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
It is a waste of time to try to rehabilitate some criminals.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
The businessperson and the manufacturer are more important than the writer and the artist.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
"Mothers may have careers, but their first duty is to be homemakers.",AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Multinational companies are unethically exploiting the plant genetic resources of developing countries.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Making peace with the establishment is an important aspect of maturity.,AGREE,AGREE,AGREE,AGREE,STRONGLY AGREE,AGREE
Astrology accurately explains many things.,AGREE,STRONGLY DISAGREE,AGREE,AGREE,AGREE,AGREE
You cannot be moral without being religious.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
Charity is better than social security as a means of helping the genuinely disadvantaged.,AGREE,AGREE,AGREE,AGREE,AGREE,AGREE
